authors,category,parent_category,title,description,image_url,price,pages,publisher,date_string,dimensions,main_category
"Finn Brunton,Helen Nissenbaum",Privacy & Data Protection,Computer Security,Obfuscation,"With  Obfuscation,  Finn Brunton and Helen Nissenbaum mean to start a revolution. They are calling us not to the barricades but to our computers, offering us ways to fight today’s pervasive digital surveillance the collection of our data by governments, corporations, advertisers, and hackers. To the toolkit of privacy protecting techniques and projects, they propose adding obfuscation: the deliberate use of ambiguous, confusing, or misleading information to interfere with surveillance and data collection projects. ",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780262529860/obfuscation.jpg,17.75,136,MIT Press Ltd,2016-09-02,20.4 x 13.0 x 1.0,Computer Security
Matt Walker,Computer Fraud & Hacking,Computer Security,"CEH Certified Ethical Hacker All-in-One Exam Guide, Third Edition","Fully up-to-date coverage of every topic on the CEH v9 certification examThoroughly revised for current exam objectives, this integrated self-study system offers complete coverage of the EC Council's Certified Ethical Hacker v9 exam. Inside, IT security expert Matt Walker discusses all of the tools, techniques, and exploits relevant to the CEH exam. Readers will find learning objectives at the beginning of each chapter, exam tips, end-of-chapter reviews, and practice exam questions with in-depth answer explanations.An integrated study system based on proven pedagogy, CEH Certified Ethical Hacker All-in-One Exam Guide, Third Edition, features brand-new explanations of cloud computing and mobile platforms and addresses vulnerabilities to the latest technologies and operating systems. Readers will learn about footprinting and reconnaissance, malware, hacking Web applications and mobile platforms, cloud computing vulnerabilities, and much more. Designed to help you pass the exam with ease, this authoritative resource will also serve as an essential on-the-job reference.Features more than 400 accurate practice questionsElectronic content includes test engine that provides full-length practice exams and customized quizzes by chapter Written by an experienced educator with more than 30 years of experience in the field ",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781259836558/ceh-certified-ethical-hacker-all-in-one-exam-guide-third-edition.jpg,51.5,525,McGraw-Hill Education - Europe,2016-09-08,23.0 x 18.8 x 2.8,Computer Security
"Glen E. Clarke,Daniel Lachance",Computer Certification,Computing & I.T.,"CompTIA Security+ Certification Bundle, Third Edition (Exam SY0-501)","This fully updated, money-saving collection covers every objective on the CompTIA Security+ exam SY0-501 and contains bonus contentThis up-to-date test preparation bundle covers every objective on the latest version of the CompTIA Security+ exam. Designed to be the ultimate self-study resource, the bundle includes the current editions of CompTIA Security+ Certification Study Guide and CompTIA Security+ Certification Practice Exams and exclusive electronic content-all at a discount of 12% off of the suggested retail price.CompTIA Security+ Certification Bundle, Third Edition, provides examinees with a wide variety of exam-focused preparation resources. Bonus content includes a quick review guide, a security audit checklist, and a URL reference list. Electronic content from the two books features author-led video training, lab simulations, and customizable test engine software that contains four complete practice exams. 12% cheaper than purchasing the books individually, and features content unavailable elsewhere Includes a 10% off exam voucher coupon, a $37 value CompTIA Approved Quality Content (CAQC)-provides complete coverage of every objective on exam SY0-501",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781260116380/comptia-security-certification-bundle-third-edition-exam-sy0-501-.jpg,78.9,-,McGraw-Hill Education - Europe,2017-12-26,23.1 x 18.5 x 6.1,Computer Security
Roger A. Grimes,Computer Science,Computing & I.T.,Hacking the Hacker,"Meet the world's top ethical hackers and explore the tools of the trade Hacking the Hacker takes you inside the world of cybersecurity to show you what goes on behind the scenes, and introduces you to the men and women on the front lines of this technological arms race. Twenty-six of the world's top white hat hackers, security researchers, writers, and leaders, describe what they do and why, with each profile preceded by a no-experience-necessary explanation of the relevant technology.  Dorothy Denning discusses advanced persistent threats, Martin Hellman describes how he helped invent public key encryption, Bill Cheswick talks about firewalls, Dr. Charlie Miller talks about hacking cars, and other cybersecurity experts from around the world detail the threats, their defenses, and the tools and techniques they use to thwart the most advanced criminals history has ever seen. Light on jargon and heavy on intrigue, this book is designed to be an introduction to the field; final chapters include a guide for parents of young hackers, as well as the Code of Ethical Hacking to help you start your own journey to the top. Cybersecurity is becoming increasingly critical at all levels, from retail businesses all the way up to national security. This book drives to the heart of the field, introducing the people and practices that help keep our world secure.  Go deep into the world of white hat hacking to grasp just how critical cybersecurity is Read the stories of some of the world's most renowned computer security experts Learn how hackers do what they do—no technical expertise necessary Delve into social engineering, cryptography, penetration testing, network attacks, and more  As a field, cybersecurity is large and multi-faceted—yet not historically diverse. With a massive demand for qualified professional that is only going to grow, opportunities are endless. Hacking the Hacker shows you why you should give the field a closer look.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781119396215/hacking-the-hacker.jpg,27.75,320,John Wiley & Sons Inc,2017-04-21,23.0 x 15.5 x 1.5,Computer Security
"Kevin D. Mitnick,William L. Simon",Computer Networking & Communications,Computing & I.T.,The Art of Intrusion,"In his bestselling ""The Art of Deception"", Mitnick presented fictionalized case studies that illustrated how savvy computer crackers use ""social engineering"" to compromise even the most technically secure computer systems. Now, in his new book, Mitnick goes one step further, offering hair raising stories of real life computer break ins and showing how the victims could have prevented them. Mitnick's reputation within the hacker community gave him unique credibility with the perpetrators of these crimes, who freely shared their stories with him and whose exploits Mitnick now reveals in detail for the first time, including: a group of friends who won nearly a million dollars in Las Vegas by reverse engineering slot machines  two teenagers who were persuaded by terrorists to hack into the Lockheed Martin computer systems  two convicts who joined forces to become hackers inside a Texas prison  and, a ""Robin Hood"" hacker who penetrated the computer systems of many prominent companies and then told them how he gained access. ",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780471782667/the-art-of-intrusion.jpg,19.95,288,John Wiley and Sons Ltd,2005-12-01,22.86 x 15.24 x 2.03,Computer Security
Lynn Margaret Batten,Mathematics,Non-Fiction,Public Key Cryptography,"Complete coverage of the current major public key cryptosystems their underlying mathematics and the most common techniques used in attacking them Public Key Cryptography: Applications and Attacks introduces and explains the fundamentals of public key cryptography and explores its application in all major public key cryptosystems in current use, including ElGamal, RSA, Elliptic Curve, and digital signature schemes. It provides the underlying mathematics needed to build and study these schemes as needed, and examines attacks on said schemes via the mathematical problems on which they are based – such as the discrete logarithm problem and the difficulty of factoring integers.  The book contains approximately ten examples with detailed solutions, while each chapter includes forty to fifty problems with full solutions for odd-numbered problems provided in the Appendix. Public Key Cryptography:  • Explains fundamentals of public key cryptography  • Offers numerous examples and exercises  • Provides excellent study tools for those preparing to take the Certified Information Systems Security Professional (CISSP) exam  • Provides solutions to the end-of-chapter problems Public Key Cryptography provides a solid background for anyone who is employed by or seeking employment with a government organization, cloud service provider, or any large enterprise that uses public key systems to secure data.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781118317129/public-key-cryptography.jpg,76.25,224,John Wiley & Sons Inc,2013-01-15,24.38 x 16.26 x 2.03,Computer Security
"Douglas W. Hubbard,Richard Seiersen,Daniel E. Geer, Jr.,Stuart McClure",Business & Management,Non-Fiction,How to Measure Anything in Cybersecurity Risk,"How to Measure Anything in Cybersecurity Risk exposes the shortcomings of current ""risk management"" practices, and offers a series of improvement techniques that help you fill the holes and ramp up security. In his bestselling book How to Measure Anything, author Douglas W. Hubbard opened the business world's eyes to the critical need for better measurement. This book expands upon that premise and draws from The Failure of Risk Management to sound the alarm in the cybersecurity realm. Some of the field's premier risk management approaches actually create more risk than they mitigate, and questionable methods have been duplicated across industries and embedded in the products accepted as gospel. This book sheds light on these blatant risks, and provides alternate techniques that can help improve your current situation. You'll also learn which approaches are too risky to save, and are actually more damaging than a total lack of any security. ",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781119085294/how-to-measure-anything-in-cybersecurity-risk.jpg,56.5,304,John Wiley & Sons Inc,2016-07-15,23.62 x 16.0 x 2.54,Computer Security
Adam Gordon,Computer Science,Computing & I.T.,The Official (Isc)2 Guide to the Ccsp Cbk,"Globally recognized and backed by the Cloud Security Alliance (CSA) and the (ISC)2 the CCSP credential is the ideal way to match marketability and credibility to your cloud security skill set. The Official (ISC)2 Guide to the CCSPSM CBK Second Edition is your ticket for expert insight through the 6 CCSP domains. You will find step-by-step guidance through real-life scenarios, illustrated examples, tables, best practices, and more. This Second Edition features clearer diagrams as well as refined explanations based on extensive expert feedback. Sample questions help you reinforce what you have learned and prepare smarter. Numerous illustrated examples and tables are included to demonstrate concepts, frameworks and real-life scenarios.  The book offers step-by-step guidance through each of CCSP’s domains, including best practices and techniques used by the world's most experienced practitioners. Developed by (ISC)², endorsed by the Cloud Security Alliance® (CSA) and compiled and reviewed by cloud security experts across the world, this book brings together a global, thorough perspective. The Official (ISC)² Guide to the CCSP CBK should be utilized as your fundamental study tool in preparation for the CCSP exam and provides a comprehensive reference that will serve you for years to come.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781119276722/the-official-isc-2-guide-to-the-ccsp-cbk.jpg,75.95,544,John Wiley & Sons Inc,2016-04-29,24.0 x 19.0 x 3.0,Computer Security
"Daniel Regalado,Shon Harris,Allen Harper,Chris Eagle,Jonathan Ness",Computer Fraud & Hacking,Computer Security,Gray Hat Hacking the Ethical Hacker's Handbook,"Readers will learn how to defend against the latest vulnerabilities in browsers, mobile devices, routers, web apps, and Linux and Windows operating systems. The book explains how to automate Metasploit to speed up the penetration testing process and how to dissect malicious Android apps, rootkits, 64-bit binaries, and botnets.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780071832380/gray-hat-hacking-the-ethical-hacker-s-handbook.jpg,54.75,656,McGraw-Hill Education - Europe,2014-12-15,23.4 x 19.1 x 3.3,Computer Security
Adam Gordon,Computer Security,Computing & I.T.,"Official (ISC)2 Guide to the CISSP CBK, Fourth Edition","As a result of a rigorous, methodical process that (ISC)² follows to routinely update its credential exams, it has announced that enhancements will be made to both the Certified Information Systems Security Professional (CISSP) credential, beginning April 15, 2015. (ISC)² conducts this process on a regular basis to ensure that the examinations and subsequent training and continuing professional education requirements encompass the topic areas relevant to the roles and responsibilities of today's practicing information security professionals.Refreshed technical content has been added to the official (ISC)² CISSP CBK to reflect the most current topics in the information security industry today. Some topics have been expanded (e.g., asset security, security assessment and testing), while other topics have been realigned under different domains. The result is an exam that most accurately reflects the technical and managerial competence required from an experienced information security professional to effectively design, engineer, implement and manage an organization's information security program within an ever-changing security landscape. The domain names have been updated as follows:CISSP Domains, Effective April 15, 2015Security and Risk Management (Security, Risk, Compliance, Law, Regulations, Business Continuity)Asset Security (Protecting Security of Assets)Security Engineering (Engineering and Management of Security)Communications and Network Security (Designing and Protecting Network Security)Identity and Access Management (Controlling Access and Managing Identity)Security Assessment and Testing (Designing, Performing, and Analyzing Security Testing)Security Operations (Foundational Concepts, Investigations, Incident Management, Disaster Recovery)Software Development Security (Understanding, Applying, and Enforcing Software Security)Some candidates may be wondering how these updates affect training materials for the CISSP credential. As part of the organization's comprehensive education strategy and certifying body best practices, (ISC)² training materials do not teach directly to its credential examinations. Rather, (ISC)² Education is focused on teaching the core competencies relevant to the roles and responsibilities of today's practicing information security professional. It is designed to refresh and enhance the knowledge of experienced industry professionals.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781482262759/official-isc-2-guide-to-the-cissp-cbk-fourth-edition.jpg,107.25,1304,Apple Academic Press Inc.,2015-03-20,26.1 x 18.4 x 6.5,Computer Security
Glenn Greenwald,Espionage & Secret Services,International Relations,No Place to Hide,"In May 2013, Glenn Greenwald set out for Hong Kong to meet an anonymous source who claimed to have astonishing evidence of pervasive government spying and insisted on communicating only through heavily encrypted channels. That source turned out to be the 29-year-old NSA contractor Edward Snowden, and his revelations about the agency's widespread, systemic overreach proved to be some of the most explosive and consequential news in recent history, triggering a fierce debate over national security and information privacy. As the arguments rage on and the government considers various proposals for reform, it is clear that we have yet to see the full impact of Snowden's disclosures.Now for the first time, Greenwald fits all the pieces together, recounting his high-intensity ten-day trip to Hong Kong, examining the broader implications of the surveillance detailed in his reporting for ""The Guardian,"" and revealing fresh information on the NSA's unprecedented abuse of power with never-before-seen documents entrusted to him by Snowden himself.Going beyond NSA specifics, Greenwald also takes on the establishment media, excoriating their habitual avoidance of adversarial reporting on the government and their failure to serve the interests of the people. Finally, he asks what it means both for individuals and for a nation's political health when a government pries so invasively into the private lives of its citizens--and considers what safeguards and forms of oversight are necessary to protect democracy in the digital age. Coming at a landmark moment in American history, ""No Place to Hide"" is a fearless, incisive, and essential contribution to our understanding of the U.S. surveillance state.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781250062581/no-place-to-hide.jpg,20.25,304,Picador USA,2015-04-28,23.1 x 15.5 x 2.3,Computer Security
Chin,Computer Security,Computing & I.T.,ARDUINO and RASPBERRY PI SENSOR PROJ FOR THE EVIL GENIUS,"Fiendishly Clever Sensor Projects for Your Arduino and Raspberry PiLearn to quickly build your own electronic gadgets that monitor, measure, and react to the real world-with no prior experience required! This easy-to-follow guide covers the programming and electronics essentials needed to build fun and educational sensor-based projects with both Arduino and Raspberry Pi. Arduino and Raspberry Pi Sensor Projects for the Evil Genius features step-by-step DIY projects that use inexpensive, readily available parts. You will discover how to use touch, temperature, moisture, light, sound, and motion sensors-even sensors that detect the presence of a human!Start-to-finish Arduino and Raspberry Pi projects include: ""Simon Says"" game Rotary encoder that controls an RGB LED Reed switch door buzzer alarm  Fire alarm Sound detector Light clapper Glass break alarm  Infrared motion detector Distance sensor intruder alarm Collision alarm TFT color display screen Door entry alarm with SD card logging And many more",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781260010893/arduino-and-raspberry-pi-sensor-proj-for-the-evil-genius.jpg,24.9,240,McGraw-Hill Education - Europe,2017-11-18,27.5 x 21.6 x 2.0,Computer Security
Dunkerley,Computer Certification,Computing & I.T.,Mike Meyers Comptia Security Cert Passport Exam (Set),"This quick review, cram-style study guide offers 100% coverage of every topic on the latest version of the CompTIA Security+ exam200 PRACTICE QUESTIONS FROM THE #1 NAME IN PROFESSIONAL CERTIFICATION!This powerful exam preparation resource presents an accelerated review of the pertinent technology and covers all objectives for the CompTIA Security+ exam (exam SY0-501). Written in the proven Passport format developed by training expert Mike Meyers, the book enables you to focus on specific topics, determine areas of need, and tailor an effective course for study.Mike Meyers' CompTIA Security+ Certification Passport, Fifth Edition (Exam SY0-501) features accurate practice exam questions and in-depth answer explanations as well as end-of-chapter bulleted summaries that reinforce salient points. Throughout, ""Exam Tips"" highlight important topics, ""Local Lingo"" notes define need-to-know terms, ""Travel Advisories"" alert you to potential pitfalls, and ""Travel Assistance"" icons specify resources for further information.  Provides complete coverage of every objective on exam SY0-501 Electronic content includes 200 practice questions and a secured book PDF Written by a pair of security experts and edited by certification guru Mike Meyers",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781260026566/mike-meyers-comptia-security-cert-passport-exam-set-.jpg,33.9,557,McGraw-Hill Education - Europe,2017-11-14,22.0 x 15.0 x 3.0,Computer Security
Gordon Corera,History,Non-Fiction,"Cyberspies - The Secret History of Surveillance, Hacking, and Digital Espionage","As the digital era become increasingly pervasive, the intertwining forces of computers and espionage are reshaping the entire world; what was once the preserve of a few intelligence agencies now affects us all.  Corera's compelling narrative takes us from the Second World War through the Cold War and the birth of the internet to the present era of hackers and surveillance. The book is rich with historical detail and characters, as well as astonishing revelations about espionage carried out in recent times by the UK, US, and China. Using unique access to the National Security Agency, GCHQ, Chinese officials, and senior executives from some of the most powerful global technology companies, Gordon Corera has gathered compelling stories from heads of state, hackers and spies of all stripes. Cyberspies is a ground-breaking exploration of the new space in which the worlds of espionage, diplomacy, international business, science, and technology collide.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781681774596/cyberspies-the-secret-history-of-surveillance-hacking-and-digital-espionage.jpg,19.75,448,Pegasus Books,2017-08-15,21.1 x 14.2 x 3.3,Computer Security
Steven Levy,Computer Fraud & Hacking,Computer Security,Hackers: Heroes of the Computer Revolution,"This 25th anniversary edition of Steven Levy's classic book traaces the exploits of the commputer revolution's original hackers---those brilliant and eccentric nerds from the late 1950s through the early `80s who took risks, bent the rules, and pushed the world in a radical new direction. With updated material from noteworthy hackers such as Bill Gates, Mark Zuckerberg, Richard Stallman, and Steve Wozniak, Hackers is a fascinating story that begins in early computer research labs and leads to the first home commmputers.Levy profiles the imaginative brainiacs who found clever and unorthodox solutions to computer engineering problems. They had a shared sense of values, known as ""the Hacker Ethick,"" that still thrives today. Hackers caputers a seminal period in recent history when underground activities blazed a trail for today's digital world, from MIT students finagling access to clunky computer-card machines to the DIY culture that spawned the Altair and the Apple II.""If you want to change the world in some big way, that's where you should start---biological molecules. Those are all pretty deep problems that need the same type of crazy fanaticism of youthful genius and naivete that drove the PC industry, and can have the same immpact on the human condition.""---Bill Gates, Bill and Melinda Gates Foundation",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781449388393/hackers-heroes-of-the-computer-revolution.jpg,26.25,528,"O'Reilly Media, Inc, USA",2010-05-30,22.3 x 15.2 x 2.7,Computer Security
Jeremy Swinfen Green,Business & Management,Non-Fiction,The Weakest Link,"The Weakest Link looks at one of the biggest issues in cyber security: how to protect organisations from their own employees. Many cyber threats don't involve hackers using clever software to penetrate company networks; threats can often involve employees acting in ways that, accidentally or deliberately, leak information or damage assets without a hacker being involved at all. Emerging technologies and behavioural changes - driven by cloud computing and people using their own smartphones and tablets for work - are starting to make these threats more common and far more serious.Written to help anyone understand how information security has become the responsibility of individual employees, it shows exactly what they can do to protect company systems and data. Effective solutions need to go beyond simple security awareness and show how to create a complete culture of security. Individuals can then use this learned behaviour to keep themselves digitally safe at work and in their personal lives.	        ",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781472943026/the-weakest-link.jpg,11.9,224,Bloomsbury Publishing,2016-11-23,23.4 x 15.6 x 2.0,Computer Security
Kim Zetter,Politics & Government,Non-Fiction,Countdown To Zero Day,"Top cybersecurity journalist Kim Zetter tells the story behind the virus that sabotaged Iran’s nuclear efforts and shows how its existence has ushered in a new age of warfare—one in which a digital attack can have the same destructive capability as a megaton bomb.    In January 2010, inspectors with the International Atomic Energy Agency noticed that centrifuges at an Iranian uranium enrichment plant were failing at an unprecedented rate. The cause was a complete mystery—apparently as much to the technicians replacing the centrifuges as to the inspectors observing them.    Then, five months later, a seemingly unrelated event occurred: A computer security firm in Belarus was called in to troubleshoot some computers in Iran that were crashing and rebooting repeatedly.    At first, the firm’s programmers believed the malicious code on the machines was a simple, routine piece of malware. But as they and other experts around the world investigated, they discovered a mysterious virus of unparalleled complexity.    They had, they soon learned, stumbled upon the world’s first digital weapon. For Stuxnet, as it came to be known, was unlike any other virus or worm built before: Rather than simply hijacking targeted computers or stealing information from them, it escaped the digital realm to wreak actual, physical destruction on a nuclear facility.     In these pages, Wired journalist Kim Zetter draws on her extensive sources and expertise to tell the story behind Stuxnet’s planning, execution, and discovery, covering its genesis in the corridors of Bush’s White House and its unleashing on systems in Iran—and telling the spectacular, unlikely tale of the security geeks who managed to unravel a sabotage campaign years in the making.    But Countdown to Zero Day ranges far beyond Stuxnet itself. Here, Zetter shows us how digital warfare developed in the US. She takes us inside today’s flourishing zero-day “grey markets,” in which intelligence agencies and militaries pay huge sums for the malicious code they need to carry out infiltrations and attacks. She reveals just how vulnerable many of our own critical systems are to Stuxnet-like strikes, from nation-state adversaries and anonymous hackers alike—and shows us just what might happen should our infrastructure be targeted by such an attack.    Propelled by Zetter’s unique knowledge and access, and filled with eye-opening explanations of the technologies involved, Countdown to Zero Day is a comprehensive and prescient portrait of a world at the edge of a new kind of war.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780770436193/countdown-to-zero-day.jpg,18.95,448,Broadway Books (A Division of Bantam Doubleday Dell Publishing Group Inc),2015-09-01,20.0 x 13.1 x 2.4,Computer Security
Harvard Business Review,Business & Management,Non-Fiction,HBR Guide to Data Analytics Basics for Managers ,"Today's business environment brings with it an onslaught of data, but leaving the analysis to others in your company just won't cut it. Now more than ever, managers must know how to tease insight from data — to understand where it comes from, make sense of the numbers, and use those findings to inform their toughest decisions. But how do you get started? ",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781633694286/hbr-guide-to-data-analytics-basics-for-managers.jpg,19.95,192,Harvard Business Review Press,2018-05-01,22.9 x 12.7 x 1.8,Databases
Alana Fairchild,Tarot Cards,Fortune-Telling By Cards & Cartomancy,Lightworker Oracle,"Alana Fairchild is the singing, dancing spiritual teacher from Australia. With students all around the world, Alana shares a message of love from the Divine Mother in all her many faces compassionate and fierce, protective and wild through unique events and her highly successful oracle decks, books and meditation CDs published through Blue Angel. ",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781925538007/lightworker-oracle.jpg,26.9,-,Blue Angel Gallery,2017-02-01,17.1 x 12.7 x 3.5,Databases
Mike Grigsby,Market Research,Sales & Marketing,Marketing Analytics,"Who is most likely to buy and what is the best way to target them? How can businesses improve strategy without identifying the key influencing factors? The second edition of Marketing Analytics enables marketers and business analysts to leverage predictive techniques to measure and improve performance. By exploring real-world marketing challenges, it provides clear, jargon-free explanations on how to apply different analytical models for each purpose. From targeted list creation and data segmentation, to testing campaign effectiveness, pricing structures and forecasting demand, this book offers a welcome handbook on how statistics, consumer analytics and modelling can be put to optimal use.   The fully revised second edition of Marketing Analytics includes three new chapters on big data analytics, insights and panel regression, including how to collect, separate and analyze big data. All of the advanced tools and techniques for predictive analytics have been updated, translating models such as tobit analysis for customer lifetime value into everyday use. Whether an experienced practitioner or having no prior knowledge, methodologies are simplified to ensure the more complex aspects of data and analytics are fully accessible for any level of application. Complete with downloadable data sets and test bank resources, this book supplies a concrete foundation to optimize marketing analytics for day-to-day business advantage.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780749482169/marketing-analytics.jpg,69.5,240,Kogan Page Ltd,2018-04-28,15.9 x 23.4 x 1.3,Databases
Wayne Winston,Computer Science,Computing & I.T.,Microsoft Excel Data Analysis and Business Modeling,"WAYNE L. WINSTON is Professor Emeritus of Decision Sciences at Indiana University’s Kelley School of Business and Visiting Professor of Decision and Information Sciences at University of Houston Bauer College of Business. He has earned numerous MBA teaching awards. For more than 20 years, he has taught clients at Fortune 500 companies, various accounting groups, the US Navy, and the US Army how to use Excel to make smarter business decisions. Wayne and his business partner Jeff Sagarin developed the player-statistics tracking and rating system used by the Dallas Mavericks professional basketball team. He is also a two time Jeopardy! champion.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781509304219/microsoft-excel-data-analysis-and-business-modeling.jpg,57.35,864,"Microsoft Press,U.S.",2016-12-19,23.1 x 19.7 x 4.3,Databases
"Laurie Ulrich-Fuller,Ken Cook",Business Applications,Computing & I.T.,Access 2016 For Dummies,"If you don't know a relational database from an isolationist table—but still need to figure out how to organize and analyze your data—Access 2016 For Dummies is for you. Written in a friendly and accessible manner, it assumes no prior Access or database-building knowledge and walks you through the basics of creating tables to store your data, building forms that ease data entry, writing queries that pull real information from your data, and creating reports that back up your analysis. Add in a dash of humor and fun, and Access 2016 For Dummies is the only resource you'll need to go from data rookie to data pro!",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781119083108/access-2016-for-dummies.jpg,33.25,456,John Wiley & Sons Inc,2015-10-23,23.5 x 19.0 x 2.5,Databases
Camille McCue,Computing,For Dummies Books,Coding For Kids ,"Coding For Kids For Dummies breaks coding into a series of small projects, each designed to teach elementary-to-middle-school-aged students a core concept to build a game, application, or other tool. In this his hands-on, friendly guide readers will get access to a leading coding tool that has been designed specifically for kids, showing them how to create the projects provided in the book as well as how to implement them into their own creative work.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781118940327/coding-for-kids.jpg,33.25,384,John Wiley & Sons Inc,2014-11-07,23.5 x 18.6 x 1.7,Databases
"Alberto Ferrari,Marco Russo",Computer Science,Computing & I.T.,Analyzing Data with Microsoft Power BI and Power Pivot for Excel,"To get the right insights from your data, you need to model it right. From Power BI to Power Pivot for Excel, Microsoft offers extremely powerful and accessible tools for modeling data. Now, for the first time, there's a complete guide to building exceptionally effective models using Microsoft's tools. World-renowned Microsoft data analytics experts Marco Russo and Alberto Ferrari introduce all the data modeling theory you'll need, and show how to apply it in the context of Microsoft's current and evolving products.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781509302765/analyzing-data-with-microsoft-power-bi-and-power-pivot-for-excel.jpg,45.95,256,"Microsoft Press,U.S.",2017-04-17,22.9 x 18.8 x 1.3,Databases
Seth Stephens-Davidowitz,Popular Culture,Cultural Studies,Everybody Lies,"AN ECONOMIST BOOK OF THE YEAR 2017Insightful, surprising and with ground-breaking revelations about our society, Everybody Lies exposes the secrets embedded in our internet searches, with a foreword by bestselling author Steven PinkerEverybody lies, to friends, lovers, doctors, pollsters - and to themselves. In Internet searches, however, people confess their secrets - about sexless marriages, mental health problems, even racist views. Seth Stephens-Davidowitz, an economist and former Google data scientist, shows that this could just be the most important dataset ever collected.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781408894705/everybody-lies.jpg,19.95,352,Bloomsbury Publishing,2017-08-01,23.2 x 15.5 x 2.7,Databases
Brabbs F. Cordelia,Tarot Cards,Fortune-Telling By Cards & Cartomancy,Oracle Of The Unicorns,"The most enchanting of mystical creatures, unicorns are a symbol of miracles, purity and magic. Like mermaids and faeries and dragons, unicorns, too, have a distinct and powerful spiritual energy. Delve into their wondrous realm through the Oracle of the Unicorns to reawaken your intuitive abilities, your innate wisdom, your unique gifts, your extraordinary courage, your divine potential.The unicorn guides in this deck are here to help you discover the magic that lies within you. They wish for you to become a more conscious creator of your reality, harnessing the infinite power of the universe to conjure miracles and move mountains. Experience greater joy, love, peace and prosperity by welcoming unicorn energy into your world.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781925538069/oracle-of-the-unicorns.jpg,26.9,-,Blue Angel Gallery,2017-05-01,17.0 x 12.5,Databases
Allen G. Taylor,Business Applications,Computing & I.T.,SQL All-In-One for Dummies,"The soup-to-nuts guide on all things SQL!   SQL, or structured query language, is the international standard language for creating and maintaining relational databases. It is the basis of all major databases in use today and is essential for the storage and retrieval of database information. This fun and friendly guide takes SQL and all its related topics and breaks it down into easily digestible pieces for you to understand. You’ll get the goods on relational database design, development, and maintenance, enabling you to start working with SQL right away!   Provides an overview of the SQL language and examines how it is integral for the storage and retrieval of database information  Includes updates to SQL standards as well as any new features  Explores SQL concepts, relational database development, SQL queries, data security, database tuning, and more  Addresses the relationship between SQL and programming as well as SQL and XML    If you’re looking for an up-to-date sequel to the bestelling first edition of SQL All-in-One For Dummies, then this is the book for you!",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780470929964/sql-all-in-one-for-dummies.jpg,40.75,744,John Wiley and Sons Ltd,2011-03-18,23.62 x 18.8 x 3.56,Databases
"Foster Provost,Tom Fawcett",Data Mining,Databases,Data Science for Business,"You'll not only learn how to improve communication between business stakeholders and data scientists, but also how participate intelligently in your company's data science projects. You'll also discover how to think data-analytically, and fully appreciate how data science methods can support business decision-making. Understand how data science fits in your organization - and how you can use it for competitive advantage Treat data as a business asset that requires careful investment if you're to gain real value Approach business problems data-analytically, using the data-mining process to gather good data in the most appropriate way Learn general concepts for actually extracting knowledge from data Apply data science principles when interviewing data science job candidates",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781449361327/data-science-for-business.jpg,53.75,408,"O'Reilly Media, Inc, USA",2013-08-16,23.3 x 17.9 x 2.2,Databases
